"gate_id","phase","requirement","evidence","pass_fail_criterion","blocker_severity","owner","status"
"PR-11","MUST_PASS_BEFORE_CUTOVER","No application/service is superuser, owner, migrator, or bypass-RLS","pg_roles/membership/object-owner audit tied to each API/builder/maintenance/backup/monitor credential","Pass: all service roles match approved flags/memberships; fail: superuser-like privilege, owner membership, shared credential, or unknown runtime user","CUTOVER_BLOCKER","Security","NOT_EVALUATED"
"PR-12","MUST_PASS_BEFORE_CUTOVER","Database, NATS, Redis, exporters, and admin surfaces are network-isolated","Listener/bind inventory, container/network topology, firewall scan from external/private paths, VPN/SSH access test","Pass: only approved HTTPS ingress is public; admin path is attributable and all forbidden ports fail closed; fail: public/plaintext/unattributed access","CUTOVER_BLOCKER","Operations + Security","NOT_EVALUATED"
"PR-13","MUST_PASS_BEFORE_CUTOVER","Secrets and certificates have distinct custody, storage, and rehearsed rotation","Secret inventory by identifier, mount/manager proof, image/repo/log scan, rotation/revocation drill, key escrow test","Pass: per-service secrets are absent from prohibited locations and old credentials are rejected after rotation; fail: shared/exposed/unrecoverable/unrotated secret","CUTOVER_BLOCKER","Security","NOT_EVALUATED"
"PR-14","MUST_PASS_BEFORE_CUTOVER","TLS, CSP, CORS/origin, proxy trust, cache, and security headers pass authenticated review","TLS scan, header/CSP report, exact origin/CSRF/proxy tests, authenticated/private cache tests, exception register","Pass: no plaintext cross-host, origin/proxy bypass, shared private cache, or broad undocumented unsafe-inline; fail: any bypass/weakened control","CUTOVER_BLOCKER","Security + Frontend","NOT_EVALUATED"
"PR-15","MUST_PASS_BEFORE_CUTOVER","Continuous WAL and primary/off-host backup protection is healthy","pgBackRest config/status, WAL continuity/age, repo1/repo2 encryption/version/object protection, delete-boundary test","Pass: both paths current and production cannot delete protected history; fail: archive gap, stale/local-only copy, or deletion capability","CUTOVER_BLOCKER","DR/Operations","NOT_EVALUATED"
"PR-16","MUST_PASS_BEFORE_CUTOVER","Recovery classes, RPO/RTO, PITR, clean/off-host restore, and write-boundary drill are accepted","Class register, measured candidate restore, before/after-write PITR fixtures, tombstone replay, owner approvals","Pass: every launch class meets accepted RPO/RTO and both boundary targets are coherent; fail: unmeasured/failed class or privacy regression","CUTOVER_BLOCKER","DR/Operations + Data","NOT_EVALUATED"
"PR-17","MUST_PASS_BEFORE_CUTOVER","Source artifacts, evidence, private data, backups, and configuration have approved retention","Retention schedule, capacity/cost/legal/privacy review, artifact hashes, expiration/tombstone/disposal procedures","Pass: each class has owner/location/retention/recovery/disposal and full seed survives rollback window; fail: one-size-fits-all or missing rights/privacy treatment","CUTOVER_BLOCKER","Data Governance + DR","NOT_EVALUATED"
"PR-18","MUST_PASS_BEFORE_CUTOVER","Capacity model admits cutover with measured headroom","Phase 4C size/peak/WAL/runtime plus live/index/TOAST/temp/log/backup/restore/old-new overlap forecast","Pass: projected/actual use stays at or below 70% and at least 25% free with all reserves; fail: final-size-only, omitted component, or ceiling breach","CUTOVER_BLOCKER","Operations + Data/DB","NOT_EVALUATED"
"PR-19","MUST_PASS_BEFORE_CUTOVER","BG-14 canonical/derived retention and cleanup safety is proven","Reference DAG/query, transactional admission/cleanup test, race/fail-closed tests, reclaim/lock/catalogue/backup measurements","Pass: current/rollback references pin canonical data and unknown/racing cleanup refuses; fail: referenced deletion or assumed reclaim/headroom","CUTOVER_BLOCKER","Data/DB + Derived owner","NOT_EVALUATED"
"PR-20","MUST_PASS_BEFORE_CUTOVER","Mandatory monitoring, paging, no-data handling, dashboards, and runbooks are live","Rule tests, dashboard freshness, synthetic alerts, delivery/ack/escalation receipts, named primary/backup owners","Pass: every mandatory signal routes and runbook succeeds; fail: missing/stale/green-on-no-data/unowned/untested signal","CUTOVER_BLOCKER","Operations/SRE","NOT_EVALUATED"
"PR-21","MUST_PASS_BEFORE_CUTOVER","/api/v1 deploy is immutable, health-gated, drainable, and bounded","Image digest/SBOM/scan, config, probes, pool/timeouts/limits, rolling deploy and previous-image rollback test","Pass: exact image deploys/drains/rolls back without unavailable or incompatible state; fail: mutable tag, no drain, unbounded resources, or failed rollback","CUTOVER_BLOCKER","API + Operations","NOT_EVALUATED"
"PR-22","MUST_PASS_BEFORE_CUTOVER","OpenAPI is authoritative and generated TypeScript/fixtures have zero drift","OpenAPI hash, generation transcript, api.gen.ts hash, git/drift check, compatibility fixture suite","Pass: zero unexplained diff and frontend V3 wire types derive from the deployed contract; fail: handwritten duplicate DTO or contract drift","CUTOVER_BLOCKER","API + Frontend","NOT_EVALUATED"
"PR-23","MUST_PASS_BEFORE_CUTOVER","V3 reads are generation-safe, string-ID-safe, read-only, and contain no V2 fallback","Endpoint tests/direct SQL, role/grant audit, concurrent pointer fixture, schema identifier tests, response identity checks","Pass: all launch endpoints use one published generation safely and cannot write/fall back; fail: mixed/unpublished/V2/numeric-loss/unsafe identifier","CUTOVER_BLOCKER","API + Data/DB","NOT_EVALUATED"
"PR-24","MUST_PASS_BEFORE_CUTOVER","Full-size API load and failure tests meet approved budgets","Phase 4C-size results for per-route p50/p95/p99/errors, query/pool plans, N+1 checks, restart/cache/NATS/DB fault tests","Pass: accepted budgets/headroom and failure modes hold with no integrity error; fail: MEASURE remains, saturation, N+1 harm, or unsafe degradation","CUTOVER_BLOCKER","API + Operations","NOT_EVALUATED"
"PR-25","MUST_PASS_BEFORE_CUTOVER","Frontend artifact/config/cache/source-map/feature-flag rollback is production-safe","Artifact hash, config/flag manifest, cache/header/service-worker tests, source-map policy, previous artifact/API compatibility","Pass: immutable assets and mutable shell/cache rules work; private data is never shared-cached; rollback is compatible; fail: drift/leak/stale incompatible client","CUTOVER_BLOCKER","Frontend + Operations","NOT_EVALUATED"
"PR-26","MUST_PASS_BEFORE_CUTOVER","Shared map complies with Babylon/renderer-neutral/trust/privacy/accessibility contract","Import-boundary tests, typed contribution fixtures, ID/LOD/cache/share/export/privacy tests, browser/visual/a11y/non-WebGL results","Pass: one bounded shared map passes all contract tests and fallback cannot bypass them; fail: feature-owned renderer, scene serialization, private share, or numeric ID loss","CUTOVER_BLOCKER","Frontend/Map","NOT_EVALUATED"
"PR-27","MUST_PASS_BEFORE_CUTOVER","Account, provider issuer/subject, Commander, link/unlink, recovery, and service-principal decisions are closed","Signed decision register, threat model, migrations/config, unit/integration/abuse tests, audit examples","Pass: exact identities and ownership/recovery are deterministic with no auto-merge/name ownership; fail: unresolved launch decision or ambiguous authority","CUTOVER_BLOCKER","Identity + Security","NOT_EVALUATED"
"PR-28","MUST_PASS_BEFORE_CUTOVER","Sessions, cookies, CSRF/exact origin, trusted proxy, revocation, and recent-auth are secure","Cookie/header tests, session lifecycle/replay/fixation tests, origin/proxy matrix, device/session inventory and revoke drill","Pass: opaque digests, bounded lifetimes, secure host cookie, rotation/revocation/recent-auth and exact-origin controls pass; fail: bearer/log leakage or bypass","CUTOVER_BLOCKER","Identity + Security","NOT_EVALUATED"
"PR-29","MUST_PASS_BEFORE_CUTOVER","Legacy sync key is one-time claim-only with quarantine and dispute handling","End-to-end claim fixtures for success/race/ambiguity/reuse/rate limit/log redaction/notification/dispute","Pass: TLS body claim atomically assigns eligible data then disables key; ambiguity quarantines; no URL/log/auth use; fail: key authenticates or auto-assigns ambiguously","CUTOVER_BLOCKER","Identity + Privacy","NOT_EVALUATED"
"PR-30","MUST_PASS_BEFORE_CUTOVER","Private, shared contribution, and canonical data remain explicitly separated","Schema/grant/RLS/ownership tests, contribution rights/receipt/withdrawal/recompute fixtures, canonical diff","Pass: private data cannot silently enter canonical and withdrawal deterministically changes eligibility without corrupting provenance; fail: leakage/relabel/trigger promotion","CUTOVER_BLOCKER","Privacy + Data/DB","NOT_EVALUATED"
"PR-31","MUST_PASS_BEFORE_CUTOVER","Privacy inventory, minimization, retention, export, deletion, restore replay, audit, and response are operational","Data/process register, approved policies, export/delete/withdraw fixtures, restored-backup tombstone test, audit/incident runbooks","Pass: every personal-data store/process has lawful owner and tested lifecycle; fail: unknown store, undeletable export, restored deletion, or missing incident path","CUTOVER_BLOCKER","Privacy + Security","NOT_EVALUATED"
"PR-32","MUST_PASS_BEFORE_CUTOVER","PostgreSQL outbox is atomic and NATS JetStream is non-authoritative transport","Transaction rollback tests, outbox/publish receipts, NATS config/credential/retention evidence, total-loss rebuild/redrive test","Pass: committed mutations always yield recoverable outbox and NATS loss loses no authority; fail: dual-write gap or NATS/Redis lifecycle authority","CUTOVER_BLOCKER","Async/Platform + Data","NOT_EVALUATED"
"PR-33","MUST_PASS_BEFORE_CUTOVER","Consumers/jobs are idempotent, fenced, replayable, and fail visibly","Duplicate/reorder/crash/ACK tests, effect-receipt conflicts, lease/fence tests, poison/dead-letter/redrive runbook","Pass: at-least-once delivery creates one durable effect and old owner cannot complete; fail: duplicate/lost/silent skip/conflicting terminal effect","CUTOVER_BLOCKER","Async/Platform","NOT_EVALUATED"
"PR-34","MUST_PASS_BEFORE_CUTOVER","Canonical and derived publication/rollback identities never mix","Launch-scope decision; pointer/release/pin/cache-response tests; missing/stale release behavior; cleanup refusal","Pass: if derived is in scope, one release pins one retained generation and both IDs propagate; if excluded, no launch path can query it; fail: mixed or unauthorized derived state","CUTOVER_BLOCKER","Architecture + Data","NOT_EVALUATED"
"PR-35","MUST_PASS_BEFORE_CUTOVER","All mandatory operational runbooks are executed/tabletopped with primary and backup owners","Dated runbook receipts for identity, grants, secrets, backup, disk/WAL, DB, build, publication, deploy, async, auth/privacy, cutover, incident","Pass: commands, expected results, aborts, identities, cleanup and owners are validated; fail: V2-only, placeholder, unowned, or untested runbook","CUTOVER_BLOCKER","Operations/Release","NOT_EVALUATED"
"PR-36","MUST_PASS_BEFORE_CUTOVER","Production-equivalent cutover dry run, window, people, and communications are approved","Timed rehearsal transcript, DNS/cache observations, staffing/roles, go/no-go and message templates, step deadlines","Pass: all steps fit window with tested abort/comms and named decision owners; fail: unknown propagation/duration, missing person, or improvised transition","CUTOVER_BLOCKER","Release + Operations","NOT_EVALUATED"
"PR-37","MUST_PASS_BEFORE_CUTOVER","Dark deploy and read-only V3 canary pass at approved traffic","Runtime identity check, internal/external smoke, representative API/map/a11y/CSP probes, 30–60 minute or approved measured observation","Pass: intended read load meets approved budgets with correct generation and fresh monitoring; fail: writes, mismatch, error/latency breach, or blind signal","CUTOVER_BLOCKER","Release + API/Frontend","NOT_EVALUATED"
"PR-38","MUST_PASS_BEFORE_CUTOVER","V2 freeze and V3 write-enable boundary are atomic, auditable, and reconciled","V2 read-only/high-water receipt; V3 intent and V3_WRITES_ENABLED transaction/LSN; synthetic write/outbox/audit reconciliation","Pass: exactly one writable authority and every accepted write/effect reconciles; fail: split brain, uncertain boundary, missing/duplicate effect","CUTOVER_BLOCKER","Release + Data/DB","NOT_EVALUATED"
"PR-39","MUST_PASS_BEFORE_CUTOVER","Accountable owners accept asymmetric rollback and post-write recovery","Signed decision plus successful fix-forward/PITR/reverse-migration-availability tabletop using current runbooks","Pass: owners understand no simple writable-V2 rollback and approve recovery authority; fail: plan relies on traffic switch after V3 writes","CUTOVER_BLOCKER","Product + Release + Data","NOT_EVALUATED"
"PR-40","MUST_PASS_BEFORE_CUTOVER","V2 can remain secure, monitored, and read-only for at least 30 successful V3 days","Read-only enforcement test, checkpoint/backup, network/credential/monitoring plan, success-day definition and retirement gate","Pass: V2 cannot accept writes but remains recoverable/observable for full window; fail: writable, abandoned, or scheduled destructive retirement","CUTOVER_BLOCKER","Operations + Product","NOT_EVALUATED"
"PR-41","MUST_PASS_BEFORE_CUTOVER","Stabilization ownership, freeze, checkpoints, and exit criteria are staffed","Schedule/on-call, change-freeze policy, daily integrity/recovery review, incident thresholds, success-day checklist","Pass: named coverage and criteria span approved stabilization; fail: uptime-only success, unstaffed period, or competing risky change","CUTOVER_BLOCKER","Operations/Release","NOT_EVALUATED"
"PR-42","MUST_PASS_BEFORE_CUTOVER","Source rights, acquisition, provenance, trust, attribution, and withdrawal evidence is complete","Source/right records, artifact hashes, source runs, generation-input/canonical-evidence links, trust/withdrawal tests","Pass: every served datum class is explainable and withdrawal recomputes eligibility; fail: unknown rights/source or evidence lost during generation","CUTOVER_BLOCKER","Data Governance","NOT_EVALUATED"
"PR-43","MUST_PASS_BEFORE_CUTOVER","Frozen baseline plus additive production migrations are immutable, ordered, and compatible","Baseline SHA, separate V3 migration ledger, migration image/transcript, clean apply/upgrade/restore compatibility tests","Pass: exact baseline retained, additive changes reproducible, service compatibility proven; fail: baseline edit, V2 lineage reuse, manual drift, or destructive unproven change","CUTOVER_BLOCKER","Architecture + Data/DB","NOT_EVALUATED"
"PR-44","MUST_PASS_BEFORE_CUTOVER","PostgreSQL/container/OS runtime is pinned and production-safe","Version/image digests, checksums/fsync/full-page-write settings, locale/extensions, limits, mounts, restart/upgrade policy, config diff","Pass: runtime matches accepted candidate assumptions and survives restart without identity/data drift; fail: mutable/unpinned/insecure/incompatible runtime","CUTOVER_BLOCKER","Data/DB + Operations","NOT_EVALUATED"
"PR-45","MUST_PASS_BEFORE_CUTOVER","Logs, traces, metrics, security audit, and evidence are correlated and privacy-safe","Redaction tests/scans, correlation/UTC audit samples, audit immutability/access review, retention, no-data tests","Pass: request→transaction→outbox→effect can be traced without secrets/private payloads and audit loss pages; fail: leakage, gaps, mutable-only audit, or stale-green telemetry","CUTOVER_BLOCKER","Security + Operations","NOT_EVALUATED"
"PR-46","CAN_FOLLOW_AFTER_CUTOVER","Add tested PostgreSQL standby/failover if the approved availability target requires it","Replication design, lag/fencing/backup interaction, failover/failback drill, application behavior","Pass: no split brain and measured RPO/RTO improves without weakening primary recovery; fail: untested replica or assumed HA","POST_CUTOVER_COMMITMENT","Data/DB + Operations","PLANNED_POST_CUTOVER"
"PR-47","CAN_FOLLOW_AFTER_CUTOVER","Refine performance and alert budgets from stable production evidence","At least the approved observation window of p50/p95/p99, errors, queries, pools, host/I/O, async and growth data; reviewed changes","Pass: every former MEASURE performance threshold gains evidence/owner without silencing integrity/security; fail: arbitrary tuning or regression","POST_CUTOVER_COMMITMENT","Operations + API/Data","PLANNED_POST_CUTOVER"
"PR-48","CAN_FOLLOW_AFTER_CUTOVER","Increase clean-host and regional/account-isolation DR automation","Automated isolated recovery, credential/key escrow test, repeatable application validation, measured drills","Pass: automation reproduces or improves manual accepted recovery and preserves isolation; fail: automation can target production or hides failed checks","POST_CUTOVER_COMMITMENT","DR/Operations + Security","PLANNED_POST_CUTOVER"
"PR-49","CAN_FOLLOW_AFTER_CUTOVER","Automate BG-14-safe admission and cleanup after sufficient observed evidence","Production reference/storage/reclaim history, transaction/race tests, dry-run reports, staged enable/kill switch","Pass: automation fails closed and never selects current/rollback/pinned data; fail: deletion on unknown reference or capacity pressure alone","POST_CUTOVER_COMMITMENT","Data/DB + Derived owner","PLANNED_POST_CUTOVER"
"PR-50","CAN_FOLLOW_AFTER_CUTOVER","Extend forecasting, SLO, and product-quality dashboards","Trend/forecast validation, operator usefulness review, ticket automation, false-positive/negative analysis","Pass: adds actionable coverage with tested ownership and no sensitive labels; fail: decorative/stale/unowned dashboard","POST_CUTOVER_COMMITMENT","Operations/SRE + Product","PLANNED_POST_CUTOVER"
"PR-51","CAN_FOLLOW_AFTER_CUTOVER","Retire V2 only after at least 30 successful V3 days and separate approval","Stability/incident/restore/privacy review, no reverse-migration need, retention/legal decision, backup/disposal/credential/DNS plan","Pass: separate retirement gate approves recoverable disposal with evidence; fail: time elapsed alone or destructive cleanup without review","POST_CUTOVER_COMMITMENT","Product + Operations + Data","PLANNED_POST_CUTOVER"
